iter	Passed	Remaining
776	5863	1682
777	5870	1675
778	5877	1667
779	5885	1659
780	5892	1652
781	5900	1644
782	5908	1637
783	5915	1629
784	5922	1622
785	5929	1614
786	5937	1606
787	5944	1599
788	5952	1591
789	5959	1584
790	5967	1576
791	5975	1569
792	5982	1561
793	5989	1553
794	5996	1546
795	6005	1538
796	6012	1531
797	6019	1523
798	6026	1516
799	6034	1508
800	6041	1501
801	6049	1493
802	6056	1485
803	6063	1478
804	6071	1470
805	6078	1463
806	6086	1455
807	6093	1447
808	6100	1440
809	6108	1432
810	6116	1425
811	6124	1417
812	6131	1410
813	6139	1402
814	6146	1395
815	6153	1387
816	6161	1380
817	6168	1372
818	6176	1364
819	6183	1357
820	6191	1349
821	6198	1342
822	6205	1334
823	6213	1327
824	6220	1319
825	6227	1311
826	6235	1304
827	6242	1296
828	6250	1289
829	6257	1281
830	6264	1274
831	6272	1266
832	6280	1259
833	6288	1251
834	6295	1244
835	6303	1236
836	6310	1228
837	6317	1221
838	6324	1213
839	6332	1206
840	6339	1198
841	6346	1190
842	6354	1183
843	6361	1175
844	6369	1168
845	6376	1160
846	6383	1153
847	6391	1145
848	6398	1138
849	6406	1130
850	6413	1122
851	6421	1115
852	6428	1107
853	6436	1100
854	6443	1092
855	6451	1085
856	6458	1077
857	6465	1070
858	6473	1062
859	6481	1055
860	6489	1047
861	6496	1040
862	6504	1032
863	6512	1025
864	6519	1017
865	6526	1009
866	6534	1002
867	6542	994
868	6549	987
869	6556	979
870	6564	972
871	6571	964
872	6579	957
873	6587	949
874	6594	942
875	6601	934
876	6609	926
877	6616	919
878	6624	911
879	6631	904
880	6639	896
881	6646	889
882	6654	881
883	6661	874
884	6668	866
885	6676	859
886	6683	851
887	6690	843
888	6698	836
889	6705	828
890	6713	821
891	6720	813
892	6728	806
893	6735	798
894	6743	791
895	6750	783
896	6758	776
897	6765	768
898	6772	760
899	6779	753
900	6787	745
901	6794	738
902	6802	730
903	6809	723
904	6817	715
905	6824	708
906	6832	700
907	6839	692
908	6847	685
909	6854	677
910	6861	670
911	6869	662
912	6876	655
913	6884	647
914	6891	640
915	6898	632
916	6906	625
917	6913	617
918	6920	610
919	6928	602
920	6935	594
921	6943	587
922	6950	579
923	6958	572
924	6966	564
925	6974	557
926	6981	549
927	6988	542
928	6996	534
929	7003	527
930	7011	519
931	7018	512
932	7025	504
933	7033	497
934	7040	489
935	7048	481
936	7055	474
937	7062	466
938	7069	459
939	7078	451
940	7085	444
941	7093	436
942	7100	429
943	7107	421
944	7115	414
945	7122	406
946	7129	399
947	7136	391
948	7144	383
949	7151	376
950	7159	368
951	7166	361
952	7173	353
953	7181	346
954	7188	338
955	7195	331
956	7203	323
957	7210	316
958	7217	308
959	7225	301
960	7232	293
961	7239	285
962	7247	278
963	7254	270
964	7261	263
965	7270	255
966	7278	248
967	7286	240
968	7294	233
969	7301	225
970	7309	218
971	7316	210
972	7323	203
973	7330	195
974	7338	188
975	7345	180
976	7353	173
977	7360	165
978	7368	158
979	7375	150
980	7382	142
981	7390	135
982	7397	127
983	7405	120
984	7412	112
985	7419	105
986	7427	97
987	7434	90
988	7441	82
989	7449	75
990	7457	67
991	7464	60
992	7471	52
993	7479	45
994	7486	37
995	7494	30
996	7502	22
997	7509	15
998	7517	7
999	7524	0
